,prepost,synapse_id,synapse_x,synapse_y,synapse_z,synapse_size,segment_id
870,postsyn,490242876,1512352,605720,1093760,3884,864691135510518224
871,postsyn,488161679,1515168,554728,1105120,228,864691135510518224
872,postsyn,488232909,1508400,537368,1108360,1564,864691135510518224
873,postsyn,493915161,1522504,564088,1107800,4000,864691135510518224
874,postsyn,486007229,1493360,606800,1096600,3408,864691135510518224
875,postsyn,477536152,1486776,609104,1103240,5416,864691135510518224
876,postsyn,493805725,1524800,605520,1083880,5680,864691135510518224
877,postsyn,484194618,1494924,568968,1028280,1504,864691135510518224
878,postsyn,484502725,1503688,565792,1020200,25084,864691135510518224
879,postsyn,477363241,1486492,596788,1107880,4256,864691135510518224
880,postsyn,487804480,1515568,534872,1108480,3432,864691135510518224
881,postsyn,493807532,1536752,605160,1080000,3824,864691135510518224
882,postsyn,488968279,1513256,613040,1068960,1468,864691135510518224
883,postsyn,488970993,1518824,615528,1065680,340,864691135510518224
884,postsyn,497928669,1556572,588788,1067520,624,864691135510518224
885,postsyn,498931832,1556888,584728,1067720,6120,864691135510518224
886,postsyn,480940096,1485008,561888,1109760,8368,864691135510518224
887,postsyn,471557151,1470224,625616,1101640,2092,864691135510518224
888,postsyn,488931969,1511776,577248,1105760,7588,864691135510518224
889,postsyn,480917210,1488096,585880,1066480,10200,864691135510518224
890,postsyn,483597357,1496640,569936,1110040,7084,864691135510518224
891,postsyn,488339971,1519816,618552,1059360,3692,864691135510518224
892,postsyn,481364815,1483424,583232,1090840,3320,864691135510518224
893,postsyn,481364896,1483712,583096,1085320,4476,864691135510518224
894,postsyn,494969928,1540648,510692,1108880,3588,864691135510518224
895,postsyn,490244312,1519904,607256,1091000,3000,864691135510518224
896,postsyn,487804033,1514124,535428,1110560,18028,864691135510518224
897,postsyn,477551444,1483744,607608,1107880,6180,864691135510518224
898,postsyn,477551498,1484292,608068,1107640,2504,864691135510518224
899,postsyn,478346567,1484336,585272,1111960,5396,864691135510518224
900,postsyn,478880943,1485048,588968,1095840,5572,864691135510518224
901,postsyn,486032559,1493424,570560,1029720,7532,864691135510518224
902,postsyn,490060294,1514104,606784,1096120,6040,864691135510518224
903,postsyn,493807102,1534128,604792,1080800,3724,864691135510518224
