,segment_id,split_index,nucleus_id,cell_type,syn_density_post,syn_density_head,syn_density_neck,syn_density_shaft,skeletal_length_processed_syn,spine_density,skeletal_length_processed_spine,allen_e_i,allen_e_i_n_nuc,allen_cell_type,allen_cell_type_n_nuc,allen_cell_type_e_i,cell_type_manual
86,864691135508704777,0,580988,excitatory,1.2282462860192778,0.3243408665802752,0.01246375382491887,0.6285697667612495,3530236.605927701,0.6649052544799662,3223015.588403008,excitatory,1,23P,1.0,excitatory,
87,864691135726145172,0,581988,excitatory,1.0137324605836873,0.3097913020119402,0.011200147072739376,0.49471287921291374,4196373.466773107,0.5486498150543146,3882257.756323378,excitatory,1,23P,1.0,excitatory,
88,864691135393954293,0,581998,excitatory,1.2321218149506745,0.3641855097584945,0.02114625540533194,0.5634302273553999,4256072.68402267,0.6620918655587692,3963196.2519060527,excitatory,1,23P,1.0,excitatory,
89,864691135058593947,1,582011,excitatory,1.0939240694323409,0.344197748857281,0.012323483098137454,0.5531237762652392,3489273.2563976925,0.534558961210052,3240054.1861263835,excitatory,1,23P,1.0,excitatory,
90,864691136537477538,0,582056,excitatory,1.3156334530855904,0.4728482741448211,0.025841180849716972,0.5553587112439174,4411563.103984414,0.7452413714110349,4131547.3323364253,excitatory,1,23P,1.0,excitatory,
91,864691135865584005,1,582091,excitatory,0.9958389159255342,0.2309289835638267,0.008126533145941117,0.5891736530807309,2953288.8833397618,0.4355908063934873,2663049.777391591,excitatory,1,,,,
92,864691135865518469,0,582129,excitatory,1.1372738466260188,0.3807920459305064,0.015306873496501314,0.5241932818450976,3723817.278102446,0.6121373345633094,3458374.257649616,excitatory,1,23P,1.0,excitatory,
93,864691136201041854,0,582210,excitatory,1.1239666093684486,0.3787613505542991,0.020939651900562878,0.499780221097258,3247427.432075511,0.6164001272040873,3009408.853327212,excitatory,1,23P,1.0,excitatory,
94,864691136740414556,0,582294,excitatory,1.2723028681241138,0.447217754267046,0.029269558209694638,0.4851890730255688,3792336.0238226852,0.7721380667486397,3492898.6358057335,excitatory,1,23P,1.0,excitatory,
95,864691136273691661,0,582313,excitatory,0.9979093092517864,0.4164861247828244,0.010425519169788285,0.41301095172622826,3740820.899645613,0.6059899607072773,3463753.7518776148,excitatory,1,23P,1.0,excitatory,
96,864691136549941154,0,582353,excitatory,1.3170931566893245,0.4106924043698589,0.021450176533967153,0.5956347800956489,3822812.361014836,0.7202412806185713,3564083.4107639045,excitatory,1,23P,1.0,excitatory,
97,864691135771640059,1,582388,excitatory,1.429438530957458,0.2678539733334013,0.03049822468647638,0.700398359973775,3770711.285073379,0.7605321454022951,3410769.7034000633,excitatory,1,23P,1.0,excitatory,
98,864691135570667757,0,582390,excitatory,1.2030641712652919,0.29369342562773665,0.015583732788410517,0.6391727940600375,4171016.07699151,0.5823500772533986,3777796.3564048978,excitatory,1,23P,1.0,excitatory,
99,864691135065011524,0,582412,excitatory,0.9159879719207085,0.3114951019213395,0.011098400305985967,0.4383868120864457,2703092.26310925,0.4972546757408456,2535923.8666208056,excitatory,1,23P,1.0,excitatory,
100,864691135937364533,0,582414,excitatory,1.4327907696937212,0.4058180795340675,0.026394671839614147,0.6930800913885349,4546372.113628605,0.7493252835680336,4233141.5602260325,excitatory,1,23P,1.0,excitatory,
101,864691136143393332,0,582444,excitatory,1.2664771406432052,0.2994625751274574,0.020213723821103372,0.5981764938170961,4007178.524692962,0.6806286373807782,3714213.392090507,excitatory,1,23P,1.0,excitatory,
102,864691135997475018,0,582468,excitatory,1.2746903524465667,0.4556064331443685,0.029510053331625763,0.538018655253421,2778714.056477866,0.7174552192467542,2461477.668047488,excitatory,1,23P,1.0,excitatory,
103,864691136811795059,0,582471,excitatory,1.2314961543214444,0.44875103259001176,0.022837202676336477,0.49385450787577634,3503056.006193554,0.7637906738722529,3277075.8869185103,excitatory,1,23P,1.0,excitatory,
104,864691136050851571,1,583729,excitatory,1.0968477784031665,0.4064613020785576,0.01738871880549979,0.45400858006234607,3680547.1821050877,0.6175483933245691,3452361.018255407,excitatory,1,23P,1.0,excitatory,
